node_id,job_id,subjob_id,worker_count,subjob_throughput
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b0d43fe9-4fb1-4296-ae22-a708f149aff3,628292d7-1aae-43c8-b61e-27b9e9a7bfbe,8.0,789237974.5956345
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b0d43fe9-4fb1-4296-ae22-a708f149aff3,6316832d-ec55-4814-bed4-99e4bee45ade,10.0,950210221.2297231
203.160.91.76:11876,8fc0e53e-5f1e-4e7b-b539-66502407b6f1,6625ea37-498f-4e0e-9c78-d636d96e4504,,
203.160.91.76:11876,8fc0e53e-5f1e-4e7b-b539-66502407b6f1,32ac6926-9a00-42c6-a7ec-25e90c42d56c,1.0,74419872.95954578
203.160.91.76:11876,8fc0e53e-5f1e-4e7b-b539-66502407b6f1,fb5f5b04-6d75-4ccb-b40a-80142bde8a67,8.0,279777842.6849618
203.160.91.76:11876,8fc0e53e-5f1e-4e7b-b539-66502407b6f1,6988371a-a726-410d-81ef-fd22528b3e2d,10.0,417645566.9138477
203.160.91.76:11876,00ffb82c-e6d6-4d78-a278-acb216fde739,ddea949b-6ed9-478d-b55e-c0f42d037d5d,1.0,11765888.801615797
203.160.91.76:11876,00ffb82c-e6d6-4d78-a278-acb216fde739,5ff8f49b-108a-4e37-b347-fb6131e34b9a,8.0,95854586.8598531
203.160.91.76:11876,00ffb82c-e6d6-4d78-a278-acb216fde739,b91b634a-fe96-42da-a539-6f1ba5fe66ea,10.0,114632543.70761548
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,109e43f4-dc51-44df-8ce6-591ec169a130,dfce0dff-08d5-4d5e-8b4c-902aa281bd99,,
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,109e43f4-dc51-44df-8ce6-591ec169a130,1a9e34d9-1e51-40c9-8bc6-d4cd635fb933,1.0,44318512.67962806
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,109e43f4-dc51-44df-8ce6-591ec169a130,a284911b-2e5f-48be-82ba-7ba0b3e36ff9,8.0,816005566.0493326
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,109e43f4-dc51-44df-8ce6-591ec169a130,68bc358f-de47-4166-bc82-fe7992c054cd,10.0,1014803275.5475948
157.148.101.187:58420,40f92fe0-aa82-402f-8fce-9486841745aa,a8c391d3-767a-46d3-a6fc-7f5ab43749d4,1.0,6166280.564539841
157.148.101.187:58420,40f92fe0-aa82-402f-8fce-9486841745aa,fcdd8b6c-1e1d-4714-87ba-dbbe94bbfe46,8.0,28945686.704536013
157.148.101.187:58420,40f92fe0-aa82-402f-8fce-9486841745aa,43ee8332-acdb-465f-be2d-c2779979d1af,10.0,32481171.33852364
157.148.101.187:58420,f6f76215-da14-4f20-872c-8a890bf9aaad,21bf35ec-94e3-48f4-ba8b-30fef1983681,1.0,19570287.607316162
