id,total_bytes,elapsed_seconds
7d6c4ee6-befa-49d5-a4f8-8ace85af09b4,103186728,35.386
0d39341d-f7d8-42cb-ae20-aecb1c183be6,84917312,60.067
18ed96cd-946f-4f44-b0b1-161ca3398a12,64876992,60.074
835c57d6-bce6-4c93-8498-a9779133aa97,13745212,60.045
d2e19aa5-8593-46b0-8733-e6cade2d302e,8782672,58.959691
86f7ed84-9097-437c-90a8-2095ca85cb26,7788412,60.172
7174ea45-8644-481c-b767-b7f12c25fd68,24379852,60.02
a057e966-83a9-47e6-bf0f-b84c65994c34,18985152,60.018
bc325a7a-45c7-43f5-8b0f-0dcaf64a9e57,16271012,58.954821
af91b855-9c07-4341-8426-f844a39ad14c,23655692,60.112
9401c51e-bd64-45ce-88a0-f9a5ecc224fc,20922572,60.114
af07d920-533f-4b8f-bc72-bde5e1d6c61b,13013752,60.002
f2257478-2a8e-436b-b3cf-97038db9a212,102104629,10.138
98f952e1-5d2b-493c-88e7-4b555578b430,12254773,11.012379
8ef4a069-c736-447d-bf20-d4f1dcb380fd,11828789,10.629014
2f4843a9-099f-44b2-a8e9-8e62b17770a9,95944245,12.256
76878b9a-35a4-44dd-9197-e13383ccbcad,23313973,18.463406
4c35d901-992b-4e79-82c9-821ff63c79fc,43089461,14.790995
2f9a98c9-b209-45b7-a10e-dd29248c9782,64716341,3.315
a560ddef-9b91-40f8-99c9-00c44216b8b9,26705461,3.390619
a31d9578-11bc-40bb-a86d-aafcb8087458,21888565,7.545839
25518521-3908-4be7-b6e8-cbbb3db73b7d,10354229,4.616243
b12d73b0-20be-4c8b-9f2e-bee48f0f36a4,17464885,5.176377
f0e62280-8141-43f2-98d4-99a8f1c4066e,2473525,60.223
05e81d10-ea99-46c5-9856-54482b14ddcf,101334581,12.58
423380c4-2a5a-43c5-9b36-7f47343f54a7,1002812,58.584762
9e454ee0-3f51-40c9-b209-cb04a813b102,780068,57.664511
33f37e53-d6ec-4cb6-a7b4-da852b28a58f,983990,57.897339
128b1da1-12db-4085-840a-8a87c486454e,768238,58.015592
f6d641a5-8b16-4f58-b7d6-7776ab813d7f,7061045,4.716682
0827d378-0c4c-4af9-9fa6-5a330ba98c97,10305077,5.234745
b24a58fa-3499-4f06-941d-cf4f89e75edf,22904373,5.540604
65de365a-da58-4b2d-b2c0-695695c558ec,3980853,2.631303
bb21188c-3636-4633-bf6f-b269bbc54048,52658176,70.975
ee6af797-848b-477f-a57f-2491762e3a67,43679744,66.205
4e631cda-0ce6-41af-a997-a6a36f80b79a,81508616,66.839
ca3717c3-902b-4c92-b616-f9ac505da8b9,68157440,69.771
6334998d-1e87-4e3d-a5d6-b0e61c6c0333,64401783,2.077
2b88623f-4cb0-4497-802f-fb7564849547,56895863,1.118
1ddacce1-fc4f-45d7-aef0-f53c972caf5c,63018399,2.128
f24e565e-ec26-45fe-94c3-9f11d9ccd597,60808175,1.125
c50d64aa-1d7f-440f-a3b3-fb72901f425a,37158864,1.656
26382a1c-6b65-4f6a-8a58-b20188142f1b,78864864,1.132
bc439237-b3f3-4e0f-95c2-f03048006564,49445652,50.556368
fb3b51aa-f6e2-45ab-bef8-9c83b0ef5d60,14913748,27.332908
9b6b74aa-de3c-46ea-a42c-df737ab824ae,46202134,36.210693
21b95281-18e7-45df-814b-70635dc55764,62984454,35.003754
23573a99-b1bb-4faa-95ef-f68ba1972596,5099206,18.324068
fa867e00-8cfe-4e59-8b20-5657746c407f,30643374,58.709581
2985aa49-a121-4450-bb65-431df00dfffc,71752092,44.699866
11af8522-5620-46ed-8421-7053249ba359,45520124,60.034
7846e223-742c-4253-8cc5-f5898dfb850b,41926190,108.322
a130ea89-8457-4238-8d48-d02340e4af86,40382622,60.123
b4453069-05c2-4edb-9a03-c195771d1638,82580238,49.687353
ba650328-38b7-4b91-a706-8b5f1d15b5a1,74050070,60.054
71db46de-5f75-43c5-8747-02ed9e2e32d2,43487480,60.376
498d2432-ba1a-411c-be6b-530cd9af24e2,49598256,60.669
77944449-4aec-41b4-aecd-dff8bc91b7ee,43914912,60.339
8a195fa0-d38d-4abc-85e2-ba85d7063007,51579728,60.382
c6a1d43f-c2ec-499e-b2cb-ec8b8f8ddd36,42501544,59.29125
ef198208-6a7f-4a30-9cba-3f55295ed4c2,46667424,60.157
cf937433-9a1d-47b7-b1df-ec83762e4a81,94322068,60.027
b8d9a3d4-83b2-4297-a57b-ad2617f4ad54,5710260,60.131
96ce0407-dd17-46c2-86f9-9c6cdc0422c8,103202654,60.142
236adce9-d8f8-4aa6-b325-f320c0b35e71,68932838,59.364682
279096a6-8f5a-47ea-99ea-fd755443bb63,42094156,59.958007
114e3e17-1cc1-4189-9350-8d8b23a568d0,44662588,60.094
042cf651-d5e7-4e53-8808-36cb94f93fc0,9778392,59.418046
f7212e3e-549e-4bc0-b780-84fb08ae0eab,9287832,60.06
a060f665-db3b-4796-91ba-de68a213e1f2,8658572,59.030911
86f236b8-bf65-47be-aa7d-f5ba8c6f66b7,10414952,62.231
2c1b76dd-520f-47b1-bced-b4930b66f6b3,4550132,59.283404
c594674c-4fc8-47f0-aa9d-ded657afc987,5231952,60.224
a2938374-b5b4-49c7-960a-b1e8f306078d,27855972,13.738862
abda52b8-f1d5-4747-b163-96cb3bc04959,28970932,16.990325
7dfed73d-1ab0-4755-8e55-3c6dc114de9e,491668,75.966
e22d95c0-6b7e-42ae-8302-cd1e121fffb4,7223668,29.938009
15fd166e-bf23-49c2-9d5c-fd07b55e3b43,336980,111.201
9fc0bc38-154a-4387-b1e5-9f2143fa5815,261436,76.816
6737d374-5add-40d1-8d72-cf8c916e71c6,34409621,19.340738
d803b205-0ec8-4499-96ee-2e89716c8c65,22456381,17.414645
b8f7da85-d931-4fc7-9f7d-9a46520eba3a,47933940,22.657589
eb602615-2fa2-46a6-8f2b-66cb2b8f1fb2,26977036,11.982831
dcf1e5eb-06fa-4940-9513-b18c87d0c82f,31067638,61.406
59da326f-433b-4f68-943e-7e923a27af11,20740502,60.207
