sub_job_id,mean_bps,max_bps,median_bps,p90_max_bps
517b14a6-e014-49e5-815b-9aee535c6f3c,2964457.122732644,9058312.0,2908308.0,4928384.0
530ab850-70c0-4a33-819c-c638477bb3f3,28686093.71980264,53092024.0,27543856.0,42588576.0
544c0676-3d35-4521-9213-f200d01f6ab6,237795361.31080315,304030504.0,189698132.0,189189236.0
5509c73a-583c-4db9-8bc0-bbf2a97bd30a,136434.86383803142,1833252.0,172312.0,411232.0
5557ac57-e218-4fe4-ab88-d2427a8c1e36,4862484.085514899,20525688.0,4375132.0,9352632.0
57d0cb1e-cda7-4851-8a62-b7662ec2002e,245278799.91957197,312099820.0,236409644.0,238432724.0
596884e6-738a-4f59-a00d-f53267ade793,0.0,0.0,0.0,0.0
59da326f-433b-4f68-943e-7e923a27af11,4846095.681134245,20333680.0,4424364.0,9695808.0
5a0c7500-f8d9-4fc2-b4aa-6417ad27ae1b,31642820.428147256,58515010.0,29294488.0,46157896.0
5baf384c-dfa8-4f82-a412-001ee0637d84,137579.9792169622,618352.0,125252.0,251952.0
5cd429dc-5cab-44d9-a6dc-7449907878e2,141793.1540523117,1194928.0,140855.0,338832.0
5d8af224-0d10-405b-a134-8635bd3e5d4d,136499.58524414024,461934.0,119460.0,246160.0
5dd2076f-224e-429a-bacc-38dcf541701e,136350.32365033703,573462.0,113668.0,246160.0
5fb9e803-0031-43c0-a2c4-9a251333eab3,172400.03165843812,1351256.0,150592.0,424264.0
60402fe5-d6a8-4746-971a-8ce846c1f126,325537878.8411358,364689688.0,268897310.0,302799100.0
60c2f62d-5c74-49bf-97cb-d19f1d318c0b,243804508.08572984,271892862.0,223952748.0,235583808.0
6334998d-1e87-4e3d-a5d6-b0e61c6c0333,471274453.957912,464779880.0,305803376.0,146826872.0
6436bbc6-8cb3-455b-9fc5-b0e7a932c08f,64263082.88674449,176187864.0,32855844.0,145958400.0
64806bf6-10e9-4b3b-bfc4-68b0eeeb3cd4,136154.3761577966,534528.0,149144.0,288152.0
651ad2dd-5862-4bc5-bf0b-8d9aebcb570e,134989.65432723827,650208.0,133216.0,286704.0
